ECO_CODE,ECOREGION,PROV_CODE,PROVINCE,RLM_CODE,REALM,ALT_CODE,ECO_CODE_X,Lat_Zone,ECOREG
20082.00000000000,Gulf of Guinea Upwelling,17.00000000000,Gulf of Guinea,4.00000000000,Tropical Atlantic,80.00000000000,82.00000000000,Tropical,20082
25081.00000000000,Gulf of Guinea West,17.00000000000,Gulf of Guinea,4.00000000000,Tropical Atlantic,81.00000000000,81.00000000000,Tropical,25081
25040.00000000000,Gulf of Maine/Bay of Fundy,5.00000000000,Cold Temperate Northwest Atlantic,2.00000000000,Temperate Northern Atlantic,22.00000000000,40.00000000000,Temperate,25040
20091.00000000000,Gulf of Oman,19.00000000000,Somali/Arabian,5.00000000000,Western Indo-Pacific,94.00000000000,91.00000000000,Tropical,20091
20138.00000000000,Gulf of Papua,32.00000000000,Sahul Shelf,6.00000000000,Central Indo-Pacific,135.00000000000,138.00000000000,Tropical,20138
20037.00000000000,Gulf of St. Lawrence - Eastern Scotian Shelf,5.00000000000,Cold Temperate Northwest Atlantic,2.00000000000,Temperate Northern Atlantic,23.00000000000,37.00000000000,Temperate,20037
20115.00000000000,Gulf of Thailand,26.00000000000,Sunda Shelf,6.00000000000,Central Indo-Pacific,113.00000000000,115.00000000000,Tropical,20115
20112.00000000000,Gulf of Tonkin,25.00000000000,South China Sea,6.00000000000,Central Indo-Pacific,116.00000000000,112.00000000000,Tropical,20112
20129.00000000000,Halmahera,30.00000000000,Western Coral Triangle,6.00000000000,Central Indo-Pacific,122.00000000000,129.00000000000,Tropical,20129
25152.00000000000,Hawaii,37.00000000000,Hawaii,7.00000000000,Eastern Indo-Pacific,158.00000000000,152.00000000000,Tropical,25152
20213.00000000000,Heard and Macdonald Islands,59.00000000000,Subantarctic Islands,12.00000000000,Southern Ocean,222.00000000000,213.00000000000,Polar,20213
20211.00000000000,Houtman,58.00000000000,West Central Australian Shelf,11.00000000000,Temperate Australasia,192.00000000000,211.00000000000,Temperate,20211
20008.00000000000,Hudson Complex,1.00000000000,Arctic,1.00000000000,Arctic,3.00000000000,8.00000000000,Polar,20008
20176.00000000000,Humboldtian,45.00000000000,Warm Temperate Southeastern Pacific,9.00000000000,Temperate South America,175.00000000000,176.00000000000,Temperate,20176
20179.00000000000,Juan Fernandez and Desventuradas,46.00000000000,Juan Fernandez and Desventuradas,9.00000000000,Temperate South America,171.00000000000,179.00000000000,Temperate,20179
25046.00000000000,Kamchatka Shelf and Coast,8.00000000000,Cold Temperate Northwest Pacific,3.00000000000,Temperate Northern Pacific,44.00000000000,46.00000000000,Temperate,25046
20017.00000000000,Kara Sea,1.00000000000,Arctic,1.00000000000,Arctic,13.00000000000,17.00000000000,Polar,20017
20214.00000000000,Kerguelen Islands,59.00000000000,Subantarctic Islands,12.00000000000,Southern Ocean,223.00000000000,214.00000000000,Polar,20214
25195.00000000000,Kermadec Island,53.00000000000,Northern New Zealand,11.00000000000,Temperate Australasia,202.00000000000,195.00000000000,Temperate,25195
25009.00000000000,Lancaster Sound,1.00000000000,Arctic,1.00000000000,Arctic,4.00000000000,9.00000000000,Polar,25009
20016.00000000000,Laptev Sea,1.00000000000,Arctic,1.00000000000,Arctic,14.00000000000,16.00000000000,Polar,20016
20209.00000000000,Leeuwin,57.00000000000,Southwest Australian Shelf,11.00000000000,Temperate Australasia,195.00000000000,209.00000000000,Temperate,20209
20132.00000000000,Lesser Sunda,30.00000000000,Western Coral Triangle,6.00000000000,Central Indo-Pacific,123.00000000000,132.00000000000,Tropical,20132
20155.00000000000,Line Islands,39.00000000000,Central Polynesia,7.00000000000,Eastern Indo-Pacific,150.00000000000,155.00000000000,Tropical,20155
20151.00000000000,Lord Howe and Norfolk Islands,36.00000000000,Lord Howe and Norfolk Islands,6.00000000000,Central Indo-Pacific,138.00000000000,151.00000000000,Tropical,20151
20212.00000000000,Macquarie Island,59.00000000000,Subantarctic Islands,12.00000000000,Southern Ocean,224.00000000000,212.00000000000,Polar,20212
20061.00000000000,Magdalena Transition,11.00000000000,Warm Temperate Northeast Pacific,3.00000000000,Temperate Northern Pacific,57.00000000000,61.00000000000,Temperate,20061
20118.00000000000,Malacca Strait,26.00000000000,Sunda Shelf,6.00000000000,Central Indo-Pacific,112.00000000000,118.00000000000,Tropical,20118
20105.00000000000,Maldives,22.00000000000,Central Indian Ocean Islands,5.00000000000,Western Indo-Pacific,102.00000000000,105.00000000000,Tropical,20105
20186.00000000000,Malvinas/Falklands,48.00000000000,Magellanic,9.00000000000,Temperate South America,178.00000000000,186.00000000000,Temperate,20186
20203.00000000000,Manning-Hawkesbury,55.00000000000,East Central Australian Shelf,11.00000000000,Temperate Australasia,200.00000000000,203.00000000000,Temperate,20203
20123.00000000000,Mariana Islands,29.00000000000,Tropical Northwestern Pacific,6.00000000000,Central Indo-Pacific,140.00000000000,123.00000000000,Tropical,20123
20158.00000000000,Tuamotus,40.00000000000,Southeast Polynesia,7.00000000000,Eastern Indo-Pacific,156.00000000000,158.00000000000,Tropical,20158
20153.00000000000,Marshall Islands,38.00000000000,"Marshall, Gilbert and Ellis Islands",7.00000000000,Eastern Indo-Pacific,149.00000000000,153.00000000000,Tropical,20153
20098.00000000000,Mascarene Islands,20.00000000000,Western Indian Ocean,5.00000000000,Western Indo-Pacific,85.00000000000,98.00000000000,Tropical,20098
20166.00000000000,Mexican Tropical Pacific,43.00000000000,Tropical East Pacific,8.00000000000,Tropical Eastern Pacific,167.00000000000,166.00000000000,Tropical,20166
